id_municipio,ano,qtd_estabelecimentos,total_leitos,qtd_profissionais,populacao,EPC,PPC
3503109,2024,5,6,111,7050,0.7092198581560284,15.744680851063832
3503158,2021,4,0,53,2452,1.6313213703099512,21.61500815660685
3503158,2022,3,0,47,2330,1.2875536480686696,20.17167381974249
3503158,2023,3,0,71,2330,1.2875536480686696,30.472103004291846
3503158,2024,3,0,76,2355,1.2738853503184713,32.27176220806794
3503208,2021,799,461,7480,240542,3.3216652393345028,31.096440538450665
3503208,2022,825,538,7765,242228,3.4058820615288075,32.05657479729841
3503208,2023,846,525,7827,242228,3.4925772412768135,32.31253199464967
3503208,2024,915,475,8029,252318,3.6263762395072883,31.82095609508636
3503307,2021,310,228,3036,136739,2.2670927826004283,22.202882864435168
3503307,2022,326,238,3084,130866,2.491097764125136,23.566090504791163
3503307,2023,333,238,3156,130866,2.544587593416166,24.11627160607033
